Label,Comment,Encoding,PcNext,IME,RegRead1Sel,RegRead2Sel,RegWriteSel,RegOp,IncOp,IncReg,AluOp,AluSelA,AluSelB,AluFlagSet,MemEn,MemWr,MemAddrSel,MicroBranch,NextState
#PC+=W,,,Same,=,PC_Lo,W,PC_Lo,WriteAlu,No,-,AddLo,Reg1,Reg2,No,No,-,-,Next,-
,"Mem MemAddr to be the new PC, and need to increment PC",,IncOut,=,PC_Hi,W,PC_Hi,WriteAlu,IncNoWrite,PC_ALU,AddHi,Reg1,SignReg2,No,Yes,No,Incrementer,Fetch*,-
"JR c,e",Conditional,001??000,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Cond,#PC+=W
,,,-,=,-,-,-,None,-,-,-,-,-,No,-,-,-,Fetch,-
CALL nn,,11001101,IncOut,=,-,-,Z,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
#CALL_end,,,Same,=,-,-,-,None,Dec,SP,-,-,-,No,No,No,-,Next,-
,,,Same,=,-,PC_Hi,-,None,Dec,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Next,-
,,,Same,=,-,PC_Lo,-,None,No,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Next,-
,,,IncOut,=,-,-,-,None,IncNoWrite,WZ,-,-,-,No,-,-,Incrementer,Fetch*,-
"CALL cc, nn",Conditional,110??100,IncOut,=,-,-,Z,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Cond,#CALL_end
,,,-,=,-,-,-,None,-,-,-,-,-,No,-,-,-,Fetch,-
RET,,11001001,Same,=,-,-,PC_Lo,WriteMem,Inc,SP,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,-,PC_Hi,WriteMem,Inc,SP,-,-,-,No,Yes,No,Incrementer,Next,-
,Extra NOP,,Same,=,-,-,-,None,No,-,-,-,-,No,No,-,-,Jump,NOP
RET cc,Conditional,110??000,Same,=,-,-,-,None,No,-,-,-,-,No,No,-,-,Cond,RET
,,,-,=,-,-,-,None,-,-,-,-,-,No,-,-,-,Fetch,-
RETI,RET + enable interrupts,11011001,Same,=,-,-,PC_Lo,WriteMem,Inc,SP,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,-,PC_Hi,WriteMem,Inc,SP,-,-,-,No,Yes,No,Incrementer,Next,-
,Extra NOP,,Same,En,-,-,-,None,No,-,-,-,-,No,No,-,-,Jump,NOP
INC (HL),,00110100,Same,=,-,-,W,WriteMem,No,HL,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,W,-,None,No,HL,IncB,-,Reg2,All,Yes,Yes,Incrementer,Jump,NOP
INC r,,00???100,-,=,-,Reg8Dest,Reg8Dest,WriteAlu,-,-,IncB,-,Reg2,All,-,-,-,Fetch,-
DEC (HL),,00110101,Same,=,-,-,W,WriteMem,No,HL,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,W,-,None,No,HL,DecB,-,Reg2,All,Yes,Yes,Incrementer,Jump,NOP
DEC r,,00???101,-,=,-,Reg8Dest,Reg8Dest,WriteAlu,-,-,DecB,-,Reg2,All,-,-,-,Fetch,-
ALU unary,accumulator/flag ops,00???111,-,=,-,-,A,WriteAlu,-,-,InstAcc,A,Reg2,All,-,-,-,Fetch,-
CB_PREFIX,CB prefix,11001011,IncOut,=,-,-,-,None,Inc,PC,-,-,-,No,Yes,No,Incrementer,DispatchCB,-
CB_ALU (HL),CB shift / rotates,CB_00???110,Same,=,-,-,W,WriteMem,No,HL,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,W,-,None,No,HL,InstCB,-,Reg2,All,Yes,Yes,Incrementer,Jump,NOP
CB_ALU r,CB shift / rotates,CB_00??????,-,=,-,Reg8Src,Reg8Src,WriteAlu,-,-,InstCB,-,Reg2,All,-,-,-,Fetch,-
BIT (HL),No (HL) writeback,CB_01???110,Same,=,-,-,W,WriteMem,No,HL,-,-,-,No,Yes,No,Incrementer,Next,-
,,,-,=,-,W,-,None,-,-,InstBit,-,Reg2,All,-,-,-,Fetch,-
CB_BIT (HL),,CB_?????110,Same,=,-,-,W,WriteMem,No,HL,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,W,-,None,No,HL,InstBit,-,Reg2,All,Yes,Yes,Incrementer,Jump,NOP
CB_BIT r,,CB_????????,-,=,-,Reg8Src,Reg8Src,WriteAlu,-,-,InstBit,-,Reg2,All,-,-,-,Fetch,-
EI,Enable interrupts,11111011,-,En,-,-,-,None,-,-,-,-,-,No,-,-,-,Fetch,-
DI,Disable interrupts,11110011,-,Dis,-,-,-,None,-,-,-,-,-,No,-,-,-,Fetch,-
RST vec,,11???111,Same,=,-,-,-,None,Dec,SP,-,-,-,No,No,No,-,Next,-
,,,Same,=,-,PC_Hi,-,None,Dec,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Next,-
,,,RstAddr,=,-,PC_Lo,-,None,No,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Jump,NOP
#Interrupt,decrement PC,,IncOut,Dis,-,-,-,None,Dec,PC,-,-,-,No,No,No,-,Next,-
,decrement SP,,Same,=,-,-,-,None,Dec,SP,-,-,-,No,No,No,-,Next,-
,push PC hi,,Same,=,-,PC_Hi,-,None,Dec,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Next,-
,"push PC, jump",,Interrupt,=,-,PC_Lo,-,None,No,SP,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Jump,NOP
